Dataset	post_XGB eodds	post_XGB eodds Accuracy	post_CART eodds	post_CART eodds Accuracy	CART eodds	CART eodds Accuracy	rset eodds	rset eodds Accuracy
adult	0.072 ± 0.036	0.830 ± 0.014	0.092 ± 0.039	0.829 ± 0.002	0.074 ± 0.008	0.833 ± 0.004	0.072 ± 0.011	0.826 ± 0.011
bank	0.022 ± 0.005	0.898 ± 0.003	0.012 ± 0.009	0.892 ± 0.004	0.024 ± 0.011	0.896 ± 0.002	0.031 ± 0.017	0.896 ± 0.001
compas-recid	0.193 ± 0.027	0.656 ± 0.010	0.183 ± 0.049	0.652 ± 0.015	0.193 ± 0.026	0.660 ± 0.006	0.171 ± 0.039	0.650 ± 0.013
german-credit	0.115 ± 0.061	0.731 ± 0.032	0.059 ± 0.035	0.692 ± 0.037	0.109 ± 0.033	0.700 ± 0.027	0.104 ± 0.042	0.721 ± 0.012
oulad	0.025 ± 0.014	0.689 ± 0.004	0.014 ± 0.009	0.675 ± 0.006	0.032 ± 0.018	0.683 ± 0.004	0.014 ± 0.005	0.685 ± 0.004
student-mat	0.134 ± 0.063	0.886 ± 0.031	0.144 ± 0.039	0.889 ± 0.027	0.182 ± 0.086	0.873 ± 0.033	0.100 ± 0.077	0.919 ± 0.040
student-por	0.292 ± 0.141	0.888 ± 0.014	0.139 ± 0.155	0.909 ± 0.017	0.145 ± 0.091	0.897 ± 0.027	0.185 ± 0.087	0.929 ± 0.025
