Dataset	post_XGB eopp	post_XGB eopp Accuracy	post_CART eopp	post_CART eopp Accuracy	CART eopp	CART eopp Accuracy	rset eopp	rset eopp Accuracy
adult	0.032 ± 0.015	0.834 ± 0.004	0.075 ± 0.053	0.828 ± 0.003	0.053 ± 0.025	0.833 ± 0.004	0.039 ± 0.028	0.827 ± 0.005
bank	0.018 ± 0.009	0.900 ± 0.002	0.020 ± 0.014	0.894 ± 0.001	0.023 ± 0.012	0.896 ± 0.002	0.027 ± 0.014	0.897 ± 0.003
compas-recid	0.075 ± 0.026	0.657 ± 0.009	0.073 ± 0.025	0.662 ± 0.006	0.074 ± 0.022	0.660 ± 0.006	0.098 ± 0.030	0.657 ± 0.005
german-credit	0.059 ± 0.037	0.728 ± 0.028	0.052 ± 0.039	0.684 ± 0.034	0.067 ± 0.049	0.700 ± 0.027	0.082 ± 0.054	0.704 ± 0.033
oulad	0.005 ± 0.005	0.690 ± 0.003	0.006 ± 0.005	0.674 ± 0.005	0.011 ± 0.007	0.683 ± 0.004	0.012 ± 0.004	0.685 ± 0.004
student-mat	0.066 ± 0.052	0.881 ± 0.025	0.089 ± 0.071	0.896 ± 0.020	0.096 ± 0.063	0.873 ± 0.033	0.079 ± 0.066	0.922 ± 0.035
student-por	0.036 ± 0.009	0.889 ± 0.025	0.032 ± 0.022	0.911 ± 0.023	0.026 ± 0.024	0.897 ± 0.027	0.028 ± 0.012	0.928 ± 0.019
