Dataset	dpf dp	dpf dp Accuracy	post_XGB dp	post_XGB dp Accuracy	post_CART dp	post_CART dp Accuracy	CART dp	CART dp Accuracy	rset dp	rset dp Accuracy
adult	0.011 ± 0.007	0.787 ± 0.003	0.096 ± 0.055	0.817 ± 0.016	0.138 ± 0.061	0.821 ± 0.018	0.166 ± 0.008	0.833 ± 0.004	0.135 ± 0.046	0.825 ± 0.011
bank	NaN	NaN	0.007 ± 0.003	0.899 ± 0.003	0.015 ± 0.003	0.895 ± 0.002	0.014 ± 0.002	0.896 ± 0.002	0.008 ± 0.006	0.895 ± 0.003
compas-recid	0.037 ± 0.010	0.580 ± 0.014	0.150 ± 0.022	0.657 ± 0.009	0.141 ± 0.016	0.656 ± 0.009	0.151 ± 0.016	0.660 ± 0.006	0.158 ± 0.025	0.646 ± 0.008
german-credit	0.069 ± 0.038	0.700 ± 0.029	0.056 ± 0.043	0.734 ± 0.020	0.067 ± 0.034	0.703 ± 0.025	0.069 ± 0.021	0.700 ± 0.027	0.059 ± 0.051	0.698 ± 0.023
oulad	NaN	NaN	0.013 ± 0.004	0.689 ± 0.004	0.004 ± 0.004	0.683 ± 0.004	0.015 ± 0.010	0.683 ± 0.004	0.012 ± 0.005	0.684 ± 0.003
student-mat	0.106 ± 0.067	0.851 ± 0.022	0.094 ± 0.054	0.881 ± 0.026	0.127 ± 0.043	0.884 ± 0.043	0.118 ± 0.056	0.873 ± 0.033	0.138 ± 0.045	0.914 ± 0.037
student-por	0.044 ± 0.041	0.889 ± 0.026	0.022 ± 0.020	0.889 ± 0.014	0.058 ± 0.024	0.895 ± 0.034	0.047 ± 0.018	0.897 ± 0.027	0.040 ± 0.026	0.925 ± 0.021
